Chrom	Strt	End	ES430	ET385	ES430/ES430	ET385/ES430
NC_029256.1	1	5000000	810427	991463	2.0	1.986
NC_029256.1	5000001	10000000	870413	1080597	2.0	2.016
NC_029256.1	10000001	15000000	614199	768258	2.0	2.031
NC_029256.1	15000001	20000000	493368	616630	2.0	2.029
NC_029256.1	20000001	25000000	706212	882929	2.0	2.03
NC_029256.1	25000001	30000000	766614	954778	2.0	2.022
NC_029256.1	30000001	35000000	797221	983865	2.0	2.004
NC_029256.1	35000001	40000000	855844	1021968	2.0	1.939
NC_029256.1	40000001	43270923	562631	686875	2.0	1.982
NC_029257.1	1	5000000	932627	1163104	2.0	2.025
NC_029257.1	5000001	10000000	765322	970420	2.0	2.059
NC_029257.1	10000001	15000000	474482	624444	2.0	2.137
NC_029257.1	15000001	20000000	606652	799132	2.0	2.139
NC_029257.1	20000001	25000000	746168	929391	2.0	2.022
NC_029257.1	25000001	30000000	829491	980213	2.0	1.919
NC_029257.1	30000001	35000000	908168	1068164	2.0	1.91
NC_029257.1	35000001	35937250	198708	235251	2.0	1.922
NC_029258.1	1	5000000	991941	1168801	2.0	1.913
NC_029258.1	5000001	10000000	940754	1107122	2.0	1.911
NC_029258.1	10000001	15000000	851109	1039712	2.0	1.983
NC_029258.1	15000001	20000000	533931	668732	2.0	2.033
NC_029258.1	20000001	25000000	632957	789113	2.0	2.024
NC_029258.1	25000001	30000000	857698	1058505	2.0	2.004
NC_029258.1	30000001	35000000	960792	1155039	2.0	1.952
NC_029258.1	35000001	36413819	265434	319368	2.0	1.953
NC_029259.1	1	5000000	352335	429503	2.0	1.979
NC_029259.1	5000001	10000000	373691	467677	2.0	2.032
NC_029259.1	10000001	15000000	329885	416291	2.0	2.049
NC_029259.1	15000001	20000000	572745	727684	2.0	2.063
NC_029259.1	20000001	25000000	862602	1030469	2.0	1.939
NC_029259.1	25000001	30000000	866524	1001427	2.0	1.876
NC_029259.1	30000001	35000000	942710	1109084	2.0	1.91
NC_029259.1	35000001	35502694	91778	105995	2.0	1.875
NC_029260.1	1	5000000	838219	1056268	2.0	2.046
NC_029260.1	5000001	10000000	560139	718302	2.0	2.082
NC_029260.1	10000001	15000000	361788	455713	2.0	2.045
NC_029260.1	15000001	20000000	657565	827373	2.0	2.043
NC_029260.1	20000001	25000000	739318	868261	2.0	1.907
NC_029260.1	25000001	29958434	842563	977150	2.0	1.883
NC_029261.1	1	5000000	842412	1030689	2.0	1.986
NC_029261.1	5000001	10000000	700867	870572	2.0	2.017
NC_029261.1	10000001	15000000	444722	571446	2.0	2.086
NC_029261.1	15000001	20000000	408774	522183	2.0	2.074
NC_029261.1	20000001	25000000	615173	773128	2.0	2.04
NC_029261.1	25000001	30000000	804354	991027	2.0	2.0
NC_029261.1	30000001	31248787	192954	235736	2.0	1.983
NC_029262.1	1	5000000	811450	1012767	2.0	2.026
NC_029262.1	5000001	10000000	531985	663087	2.0	2.024
NC_029262.1	10000001	15000000	354952	435091	2.0	1.99
NC_029262.1	15000001	20000000	599934	735881	2.0	1.991
NC_029262.1	20000001	25000000	737600	873770	2.0	1.923
NC_029262.1	25000001	29697621	835112	1008934	2.0	1.961
NC_029263.1	1	5000000	747301	932641	2.0	2.026
NC_029263.1	5000001	10000000	470582	570928	2.0	1.97
NC_029263.1	10000001	15000000	386906	473511	2.0	1.987
NC_029263.1	15000001	20000000	521764	616909	2.0	1.92
NC_029263.1	20000001	25000000	780087	926517	2.0	1.928
NC_029263.1	25000001	28443022	597988	718013	2.0	1.949
NC_029264.1	1	5000000	415759	531227	2.0	2.074
NC_029264.1	5000001	10000000	488148	634456	2.0	2.11
