Chrom	Strt	End	Naine	Novaria	Naine/Naine	Novaria/Naine
NC_025202.1	1	100000	107	122	3.0	3.445
NC_025202.1	100001	200000	108	85	3.0	2.378
NC_025202.1	200001	300000	181	114	3.0	1.903
NC_025202.1	300001	400000	164	150	3.0	2.764
NC_025202.1	400001	500000	150	135	3.0	2.719
NC_025202.1	500001	600000	97	107	3.0	3.333
NC_025202.1	600001	700000	106	93	3.0	2.651
NC_025202.1	700001	800000	97	67	3.0	2.087
NC_025202.1	800001	900000	98	88	3.0	2.713
NC_025202.1	900001	1000000	175	190	3.0	3.281
NC_025202.1	1000001	1100000	130	130	3.0	3.022
NC_025202.1	1100001	1200000	34	34	3.0	3.022
NC_025202.1	1200001	1300000	77	73	3.0	2.865
NC_025202.1	1300001	1400000	113	117	3.0	3.128
NC_025202.1	1400001	1500000	101	89	3.0	2.663
NC_025202.1	1500001	1600000	134	113	3.0	2.548
NC_025202.1	1600001	1700000	142	136	3.0	2.894
NC_025202.1	1700001	1800000	114	103	3.0	2.73
NC_025202.1	1800001	1900000	42	39	3.0	2.806
NC_025202.1	1900001	2000000	114	111	3.0	2.942
NC_025202.1	2000001	2100000	139	119	3.0	2.587
NC_025202.1	2100001	2200000	139	137	3.0	2.978
NC_025202.1	2200001	2300000	120	95	3.0	2.392
NC_025202.1	2300001	2400000	142	142	3.0	3.022
NC_025202.1	2400001	2500000	156	177	3.0	3.428
NC_025202.1	2500001	2600000	85	77	3.0	2.737
NC_025202.1	2600001	2700000	108	93	3.0	2.602
NC_025202.1	2700001	2800000	190	145	3.0	2.306
NC_025202.1	2800001	2900000	112	106	3.0	2.86
NC_025202.1	2900001	3000000	100	118	3.0	3.565
NC_025202.1	3000001	3100000	113	130	3.0	3.476
NC_025202.1	3100001	3200000	110	107	3.0	2.939
NC_025202.1	3200001	3300000	126	89	3.0	2.134
NC_025202.1	3300001	3400000	124	130	3.0	3.168
NC_025202.1	3400001	3500000	126	113	3.0	2.71
NC_025202.1	3500001	3600000	110	100	3.0	2.747
NC_025202.1	3600001	3700000	109	100	3.0	2.772
NC_025202.1	3700001	3800000	125	106	3.0	2.562
NC_025202.1	3800001	3900000	151	145	3.0	2.901
NC_025202.1	3900001	4000000	96	86	3.0	2.707
NC_025202.1	4000001	4100000	149	137	3.0	2.778
NC_025202.1	4100001	4200000	132	121	3.0	2.77
NC_025202.1	4200001	4300000	129	122	3.0	2.858
NC_025202.1	4300001	4400000	123	138	3.0	3.39
NC_025202.1	4400001	4500000	155	171	3.0	3.333
NC_025202.1	4500001	4600000	105	90	3.0	2.59
NC_025202.1	4600001	4700000	148	117	3.0	2.389
NC_025202.1	4700001	4800000	134	109	3.0	2.458
NC_025202.1	4800001	4900000	125	108	3.0	2.611
NC_025202.1	4900001	5000000	172	166	3.0	2.916
NC_025202.1	5000001	5100000	92	92	3.0	3.022
NC_025202.1	5100001	5200000	160	131	3.0	2.474
